transportador_codigo;tabela_nome;validade_inicio;validade_fim;cidade_ibge;prazo_adicional
001;KAMER - DF01;01/03/2022;31/12/2099;2931350;6
001;KAMER - DF01;01/03/2022;31/12/2099;2931301;6
001;KAMER - DF01;01/03/2022;31/12/2099;2931202;6
001;KAMER - DF01;01/03/2022;31/12/2099;2931103;6
001;KAMER - DF01;01/03/2022;31/12/2099;2931053;6
001;KAMER - DF01;01/03/2022;31/12/2099;2931004;6
001;KAMER - DF01;01/03/2022;31/12/2099;2930907;6
001;KAMER - DF01;01/03/2022;31/12/2099;2930808;6
001;KAMER - DF01;01/03/2022;31/12/2099;2930774;6
001;KAMER - DF01;01/03/2022;31/12/2099;2930766;6
001;KAMER - DF01;01/03/2022;31/12/2099;2930758;6
001;KAMER - DF01;01/03/2022;31/12/2099;2930709;6
001;KAMER - DF01;01/03/2022;31/12/2099;2930600;6
001;KAMER - DF01;01/03/2022;31/12/2099;2930501;6
001;KAMER - DF01;01/03/2022;31/12/2099;2930402;6
001;KAMER - DF01;01/03/2022;31/12/2099;2930303;6
001;KAMER - DF01;01/03/2022;31/12/2099;2930154;6
001;KAMER - DF01;01/03/2022;31/12/2099;5205497;13
001;KAMER - DF01;01/03/2022;31/12/2099;5205455;13
001;KAMER - DF01;01/03/2022;31/12/2099;5205406;13
001;KAMER - DF01;01/03/2022;31/12/2099;5205208;13
001;KAMER - DF01;01/03/2022;31/12/2099;5205109;6
001;KAMER - DF01;01/03/2022;31/12/2099;5205059;13
001;KAMER - DF01;01/03/2022;31/12/2099;5205000;13
001;KAMER - DF01;01/03/2022;31/12/2099;5204607;13
001;KAMER - DF01;01/03/2022;31/12/2099;5204557;12
001;KAMER - DF01;01/03/2022;31/12/2099;5204508;13
001;KAMER - DF01;01/03/2022;31/12/2099;5204250;13
001;KAMER - DF01;01/03/2022;31/12/2099;5204201;13
001;KAMER - DF01;01/03/2022;31/12/2099;5204102;13
