transportador_codigo,tabela_nome,validade_inicio,validade_fim,tarifa_codigo,cidade_ibge,prazo_entrega_dias
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918555,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918506,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918456,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918407,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918357,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918308,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918100,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2918001,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917904,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917805,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917706,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917607,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917508,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917409,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917359,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917334,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917300,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917201,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917102,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2917003,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2916906,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2916856,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2916807,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2916708,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2916609,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2916500,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2916401,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2916302,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2925303,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2925253,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2925204,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2925105,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2925006,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924900,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924801,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924702,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924678,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924652,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924603,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924504,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924405,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924306,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924207,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924108,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924058,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2924009,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2923902,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2923803,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2923704,13
